Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	1838231	0.738	0
2	243199373	1732567	0.712	0
3	198022430	1371065	0.692	0
4	191154276	1200421	0.628	0
5	180915260	1233234	0.682	0
6	171115067	1274125	0.745	0
7	159138663	1192207	0.749	0
8	146364022	1069388	0.731	0
9	141213431	948098	0.671	0
10	135534747	1189515	0.878	0
11	135006516	1022603	0.757	0
12	133851895	1017934	0.76	0
13	115169878	617941	0.537	-1
14	107349540	675031	0.629	0
15	102531392	681532	0.665	0
16	90354753	814798	0.902	1
17	81195210	779643	0.96	1
18	78077248	555443	0.711	0
19	59128983	654268	1.107	1
20	63025520	568313	0.902	1
21	48129895	287008	0.596	-1
22	51304566	398105	0.776	0
Odchylenie standardowe dla osobnika: 0.12765
