Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	25218179	10.118	0
2	243199373	26663423	10.964	0
3	198022430	22009295	11.115	0
4	191154276	20535891	10.743	0
5	180915260	19671035	10.873	0
6	171115067	18849100	11.015	0
7	159138663	16958877	10.657	0
8	146364022	16133374	11.023	0
9	141213431	12577899	8.907	-1
10	135534747	14898695	10.993	0
11	135006516	14901128	11.037	0
12	133851895	14848032	11.093	0
13	115169878	10670269	9.265	-1
14	107349540	9991539	9.307	0
15	102531392	9003745	8.781	-1
16	90354753	8991219	9.951	0
17	81195210	8949421	11.022	0
18	78077248	8516501	10.908	0
19	59128983	6495471	10.985	0
20	63025520	7196192	11.418	1
21	48129895	4057290	8.43	-1
22	51304566	4027275	7.85	-1
Odchylenie standardowe dla osobnika: 1.02274
