Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	743159	0.298	0
2	243199373	805908	0.331	0
3	198022430	667127	0.337	0
4	191154276	647466	0.339	1
5	180915260	598351	0.331	0
6	171115067	579713	0.339	1
7	159138663	510413	0.321	0
8	146364022	485052	0.331	0
9	141213431	370092	0.262	-1
10	135534747	436976	0.322	0
11	135006516	437240	0.324	0
12	133851895	443675	0.331	0
13	115169878	334086	0.29	0
14	107349540	298173	0.278	0
15	102531392	261439	0.255	-1
16	90354753	253893	0.281	0
17	81195210	250492	0.309	0
18	78077248	257724	0.33	0
19	59128983	177375	0.3	0
20	63025520	201582	0.32	0
21	48129895	124638	0.259	-1
22	51304566	107837	0.21	-1
Odchylenie standardowe dla osobnika: 0.03364
