Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	311002	0.125	0
2	243199373	275957	0.113	0
3	198022430	218449	0.11	0
4	191154276	196904	0.103	0
5	180915260	194013	0.107	0
6	171115067	195811	0.114	0
7	159138663	204280	0.128	0
8	146364022	161862	0.111	0
9	141213431	153709	0.109	0
10	135534747	190639	0.141	0
11	135006516	159152	0.118	0
12	133851895	173309	0.129	0
13	115169878	96168	0.084	-1
14	107349540	111784	0.104	0
15	102531392	114142	0.111	0
16	90354753	141564	0.157	1
17	81195210	148641	0.183	1
18	78077248	82443	0.106	0
19	59128983	135507	0.229	1
20	63025520	88216	0.14	0
21	48129895	46029	0.096	0
22	51304566	68786	0.134	0
Odchylenie standardowe dla osobnika: 0.03098
