Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	1894616	0.76	0
2	243199373	1799495	0.74	0
3	198022430	1430444	0.722	0
4	191154276	1232415	0.645	-1
5	180915260	1292706	0.715	0
6	171115067	1339469	0.783	0
7	159138663	1223041	0.769	0
8	146364022	1131077	0.773	0
9	141213431	979591	0.694	0
10	135534747	1219421	0.9	1
11	135006516	1067826	0.791	0
12	133851895	1049774	0.784	0
13	115169878	649802	0.564	-1
14	107349540	702036	0.654	-1
15	102531392	707400	0.69	0
16	90354753	832183	0.921	1
17	81195210	774431	0.954	1
18	78077248	583185	0.747	0
19	59128983	632246	1.069	1
20	63025520	589346	0.935	1
21	48129895	297350	0.618	-1
22	51304566	406986	0.793	0
Odchylenie standardowe dla osobnika: 0.11772
