Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	184869	0.074	0
2	243199373	171367	0.07	0
3	198022430	133071	0.067	0
4	191154276	126112	0.066	0
5	180915260	120646	0.067	0
6	171115067	120063	0.07	0
7	159138663	119411	0.075	0
8	146364022	101258	0.069	0
9	141213431	91117	0.065	0
10	135534747	126105	0.093	1
11	135006516	96571	0.072	0
12	133851895	98133	0.073	0
13	115169878	59811	0.052	-1
14	107349540	64825	0.06	0
15	102531392	66256	0.065	0
16	90354753	84504	0.094	1
17	81195210	81426	0.1	1
18	78077248	51138	0.065	0
19	59128983	77096	0.13	1
20	63025520	49187	0.078	0
21	48129895	28207	0.059	0
22	51304566	38790	0.076	0
Odchylenie standardowe dla osobnika: 0.01646
