Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	2003049	0.804	0
2	243199373	1866604	0.768	0
3	198022430	1455140	0.735	0
4	191154276	1250390	0.654	-1
5	180915260	1329353	0.735	0
6	171115067	1366368	0.799	0
7	159138663	1289059	0.81	0
8	146364022	1148012	0.784	0
9	141213431	1037988	0.735	0
10	135534747	1245460	0.919	0
11	135006516	1116649	0.827	0
12	133851895	1094430	0.818	0
13	115169878	667507	0.58	-1
14	107349540	740065	0.689	0
15	102531392	747177	0.729	0
16	90354753	877086	0.971	0
17	81195210	888633	1.094	1
18	78077248	600467	0.769	0
19	59128983	745991	1.262	1
20	63025520	632446	1.003	1
21	48129895	322213	0.669	-1
22	51304566	472534	0.921	0
Odchylenie standardowe dla osobnika: 0.15214
