Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	1060611	0.426	0
2	243199373	940457	0.387	0
3	198022430	750916	0.379	0
4	191154276	664770	0.348	0
5	180915260	685435	0.379	0
6	171115067	678047	0.396	0
7	159138663	671696	0.422	0
8	146364022	579532	0.396	0
9	141213431	521430	0.369	0
10	135534747	633539	0.467	0
11	135006516	549279	0.407	0
12	133851895	571653	0.427	0
13	115169878	342193	0.297	-1
14	107349540	373798	0.348	0
15	102531392	376753	0.367	0
16	90354753	455865	0.505	1
17	81195210	446485	0.55	1
18	78077248	295991	0.379	0
19	59128983	388816	0.658	1
20	63025520	299086	0.475	0
21	48129895	156539	0.325	-1
22	51304566	213408	0.416	0
Odchylenie standardowe dla osobnika: 0.07771
