Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	36066	0.014	0
2	243199373	32869	0.014	0
3	198022430	25575	0.013	0
4	191154276	22152	0.012	0
5	180915260	23228	0.013	0
6	171115067	23928	0.014	0
7	159138663	22783	0.014	0
8	146364022	19825	0.014	0
9	141213431	17924	0.013	0
10	135534747	21524	0.016	0
11	135006516	19400	0.014	0
12	133851895	19467	0.015	0
13	115169878	11666	0.01	-1
14	107349540	13023	0.012	0
15	102531392	13170	0.013	0
16	90354753	15770	0.017	0
17	81195210	15475	0.019	1
18	78077248	10405	0.013	0
19	59128983	13348	0.023	1
20	63025520	11156	0.018	1
21	48129895	8356	0.017	0
22	51304566	8133	0.016	0
Odchylenie standardowe dla osobnika: 0.00275
