Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	538882	0.216	0
2	243199373	571937	0.235	0
3	198022430	470799	0.238	0
4	191154276	445446	0.233	0
5	180915260	423096	0.234	0
6	171115067	405985	0.237	0
7	159138663	364079	0.229	0
8	146364022	345868	0.236	0
9	141213431	268139	0.19	-1
10	135534747	315936	0.233	0
11	135006516	317367	0.235	0
12	133851895	318994	0.238	0
13	115169878	231275	0.201	-1
14	107349540	213437	0.199	-1
15	102531392	192428	0.188	-1
16	90354753	191303	0.212	0
17	81195210	191097	0.235	0
18	78077248	181609	0.233	0
19	59128983	140021	0.237	0
20	63025520	151873	0.241	0
21	48129895	131003	0.272	1
22	51304566	85039	0.166	-1
Odchylenie standardowe dla osobnika: 0.02274
