Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	525505	0.211	0
2	243199373	464533	0.191	0
3	198022430	362096	0.183	0
4	191154276	307913	0.161	-1
5	180915260	326351	0.18	0
6	171115067	335021	0.196	0
7	159138663	333909	0.21	0
8	146364022	278476	0.19	0
9	141213431	261124	0.185	0
10	135534747	323914	0.239	0
11	135006516	279225	0.207	0
12	133851895	284019	0.212	0
13	115169878	160571	0.139	-1
14	107349540	189974	0.177	0
15	102531392	193590	0.189	0
16	90354753	237207	0.263	1
17	81195210	247028	0.304	1
18	78077248	146343	0.187	0
19	59128983	216933	0.367	1
20	63025520	163182	0.259	0
21	48129895	80414	0.167	0
22	51304566	124366	0.242	0
Odchylenie standardowe dla osobnika: 0.05003
