Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	269136	0.108	0
2	243199373	286377	0.118	0
3	198022430	235423	0.119	0
4	191154276	222919	0.117	0
5	180915260	211219	0.117	0
6	171115067	203004	0.119	0
7	159138663	182723	0.115	0
8	146364022	173131	0.118	0
9	141213431	134416	0.095	-1
10	135534747	158197	0.117	0
11	135006516	157118	0.116	0
12	133851895	158476	0.118	0
13	115169878	115401	0.1	-1
14	107349540	106187	0.099	-1
15	102531392	95668	0.093	-1
16	90354753	95689	0.106	0
17	81195210	95386	0.117	0
18	78077248	91135	0.117	0
19	59128983	70349	0.119	0
20	63025520	75630	0.12	0
21	48129895	65675	0.136	1
22	51304566	42739	0.083	-1
Odchylenie standardowe dla osobnika: 0.01148
