Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	538214	0.216	0
2	243199373	572254	0.235	0
3	198022430	471435	0.238	0
4	191154276	445729	0.233	0
5	180915260	422045	0.233	0
6	171115067	407447	0.238	0
7	159138663	364339	0.229	0
8	146364022	346354	0.237	0
9	141213431	268447	0.19	-1
10	135534747	315590	0.233	0
11	135006516	316800	0.235	0
12	133851895	317413	0.237	0
13	115169878	231730	0.201	-1
14	107349540	213917	0.199	-1
15	102531392	192308	0.188	-1
16	90354753	190280	0.211	0
17	81195210	191007	0.235	0
18	78077248	181575	0.233	0
19	59128983	139864	0.237	0
20	63025520	152037	0.241	0
21	48129895	130886	0.272	1
22	51304566	85565	0.167	-1
Odchylenie standardowe dla osobnika: 0.02265
