Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	1667706	0.669	0
2	243199373	1558815	0.641	0
3	198022430	1228147	0.62	0
4	191154276	1070764	0.56	0
5	180915260	1109975	0.614	0
6	171115067	1137745	0.665	0
7	159138663	1079233	0.678	0
8	146364022	958779	0.655	0
9	141213431	856979	0.607	0
10	135534747	1063753	0.785	0
11	135006516	920088	0.682	0
12	133851895	922914	0.69	0
13	115169878	554765	0.482	-1
14	107349540	612681	0.571	0
15	102531392	613636	0.598	0
16	90354753	744200	0.824	1
17	81195210	718962	0.885	1
18	78077248	494817	0.634	0
19	59128983	610801	1.033	1
20	63025520	514677	0.817	1
21	48129895	258242	0.537	-1
22	51304566	365788	0.713	0
Odchylenie standardowe dla osobnika: 0.12227
