Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	1251408	0.502	0
2	243199373	1301883	0.535	0
3	198022430	1064815	0.538	0
4	191154276	982313	0.514	0
5	180915260	952548	0.527	0
6	171115067	917373	0.536	0
7	159138663	829995	0.522	0
8	146364022	787985	0.538	0
9	141213431	621419	0.44	-1
10	135534747	734549	0.542	0
11	135006516	734381	0.544	0
12	133851895	726794	0.543	0
13	115169878	512746	0.445	-1
14	107349540	487564	0.454	-1
15	102531392	446444	0.435	-1
16	90354753	462430	0.512	0
17	81195210	458923	0.565	1
18	78077248	414412	0.531	0
19	59128983	344473	0.583	1
20	63025520	365201	0.579	1
21	48129895	204656	0.425	-1
22	51304566	210105	0.41	-1
Odchylenie standardowe dla osobnika: 0.05015
