Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	146504	0.059	0
2	243199373	128544	0.053	0
3	198022430	101883	0.051	0
4	191154276	88354	0.046	0
5	180915260	90207	0.05	0
6	171115067	90142	0.053	0
7	159138663	96684	0.061	0
8	146364022	72846	0.05	0
9	141213431	73241	0.052	0
10	135534747	83498	0.062	0
11	135006516	73393	0.054	0
12	133851895	82294	0.061	0
13	115169878	45334	0.039	-1
14	107349540	52576	0.049	0
15	102531392	54918	0.054	0
16	90354753	64796	0.072	0
17	81195210	74580	0.092	1
18	78077248	38079	0.049	0
19	59128983	67450	0.114	1
20	63025520	40770	0.065	0
21	48129895	20792	0.043	0
22	51304566	32640	0.064	0
Odchylenie standardowe dla osobnika: 0.01621
