Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	311886	0.125	0
2	243199373	280848	0.115	0
3	198022430	220908	0.112	0
4	191154276	185970	0.097	-1
5	180915260	200992	0.111	0
6	171115067	206338	0.121	0
7	159138663	200013	0.126	0
8	146364022	170837	0.117	0
9	141213431	159629	0.113	0
10	135534747	188795	0.139	0
11	135006516	167916	0.124	0
12	133851895	171600	0.128	0
13	115169878	99730	0.087	-1
14	107349540	114501	0.107	0
15	102531392	118015	0.115	0
16	90354753	138962	0.154	0
17	81195210	146468	0.18	1
18	78077248	89908	0.115	0
19	59128983	125020	0.211	1
20	63025520	98435	0.156	1
21	48129895	48763	0.101	0
22	51304566	75846	0.148	0
Odchylenie standardowe dla osobnika: 0.02768
