Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	715642	0.287	0
2	243199373	657124	0.27	0
3	198022430	513454	0.259	0
4	191154276	444916	0.233	-1
5	180915260	465626	0.257	0
6	171115067	475354	0.278	0
7	159138663	455265	0.286	0
8	146364022	399203	0.273	0
9	141213431	363737	0.258	0
10	135534747	429183	0.317	0
11	135006516	389909	0.289	0
12	133851895	389307	0.291	0
13	115169878	233391	0.203	-1
14	107349540	259060	0.241	0
15	102531392	261976	0.256	0
16	90354753	309851	0.343	0
17	81195210	311940	0.384	1
18	78077248	207962	0.266	0
19	59128983	265137	0.448	1
20	63025520	219398	0.348	1
21	48129895	166798	0.347	1
22	51304566	161583	0.315	0
Odchylenie standardowe dla osobnika: 0.05362
