Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	377386	0.151	0
2	243199373	345787	0.142	0
3	198022430	273308	0.138	0
4	191154276	232874	0.122	-1
5	180915260	247789	0.137	0
6	171115067	253316	0.148	0
7	159138663	241458	0.152	0
8	146364022	209027	0.143	0
9	141213431	192892	0.137	0
10	135534747	227710	0.168	0
11	135006516	204463	0.151	0
12	133851895	208012	0.155	0
13	115169878	123614	0.107	-1
14	107349540	137219	0.128	0
15	102531392	140756	0.137	0
16	90354753	159971	0.177	0
17	81195210	167596	0.206	1
18	78077248	109200	0.14	0
19	59128983	142727	0.241	1
20	63025520	115471	0.183	1
21	48129895	58051	0.121	-1
22	51304566	83985	0.164	0
Odchylenie standardowe dla osobnika: 0.029
