Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	1402830	0.563	0
2	243199373	1295481	0.533	0
3	198022430	1014879	0.513	0
4	191154276	890883	0.466	0
5	180915260	924454	0.511	0
6	171115067	927455	0.542	0
7	159138663	896276	0.563	0
8	146364022	798381	0.545	0
9	141213431	705265	0.499	0
10	135534747	882967	0.651	0
11	135006516	765151	0.567	0
12	133851895	758057	0.566	0
13	115169878	462043	0.401	-1
14	107349540	503120	0.469	0
15	102531392	504281	0.492	0
16	90354753	599333	0.663	1
17	81195210	586521	0.722	1
18	78077248	410171	0.525	0
19	59128983	498856	0.844	1
20	63025520	421447	0.669	1
21	48129895	217957	0.453	-1
22	51304566	303664	0.592	0
Odchylenie standardowe dla osobnika: 0.09725
