Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	27162	0.011	0
2	243199373	24573	0.01	0
3	198022430	19887	0.01	0
4	191154276	16594	0.009	0
5	180915260	17283	0.01	0
6	171115067	17640	0.01	0
7	159138663	18444	0.012	0
8	146364022	14761	0.01	0
9	141213431	14091	0.01	0
10	135534747	16331	0.012	0
11	135006516	14604	0.011	0
12	133851895	15388	0.011	0
13	115169878	9099	0.008	-1
14	107349540	10314	0.01	0
15	102531392	10040	0.01	0
16	90354753	12416	0.014	1
17	81195210	13746	0.017	1
18	78077248	7970	0.01	0
19	59128983	11996	0.02	1
20	63025520	8405	0.013	0
21	48129895	4211	0.009	0
22	51304566	6289	0.012	0
Odchylenie standardowe dla osobnika: 0.00267
