Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	26806	0.011	0
2	243199373	28482	0.012	0
3	198022430	23535	0.012	0
4	191154276	22385	0.012	0
5	180915260	21082	0.012	0
6	171115067	20399	0.012	0
7	159138663	18367	0.012	0
8	146364022	17385	0.012	0
9	141213431	13380	0.009	-1
10	135534747	15770	0.012	0
11	135006516	15914	0.012	0
12	133851895	15617	0.012	0
13	115169878	11690	0.01	-1
14	107349540	10732	0.01	-1
15	102531392	9565	0.009	-1
16	90354753	9524	0.011	0
17	81195210	9488	0.012	0
18	78077248	9041	0.012	0
19	59128983	7049	0.012	0
20	63025520	7609	0.012	0
21	48129895	6666	0.014	1
22	51304566	4284	0.008	-1
Odchylenie standardowe dla osobnika: 0.00133
