Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	211492	0.085	0
2	243199373	210272	0.086	0
3	198022430	168021	0.085	0
4	191154276	152609	0.08	0
5	180915260	150833	0.083	0
6	171115067	147388	0.086	0
7	159138663	139038	0.087	0
8	146364022	126483	0.086	0
9	141213431	104432	0.074	-1
10	135534747	123974	0.091	0
11	135006516	123257	0.091	0
12	133851895	119966	0.09	0
13	115169878	80632	0.07	-1
14	107349540	80415	0.075	-1
15	102531392	74968	0.073	-1
16	90354753	85105	0.094	0
17	81195210	87052	0.107	1
18	78077248	66236	0.085	0
19	59128983	73303	0.124	1
20	63025520	64362	0.102	1
21	48129895	36742	0.076	0
22	51304566	41987	0.082	0
Odchylenie standardowe dla osobnika: 0.01189
