Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	97602	0.039	0
2	243199373	96157	0.04	0
3	198022430	77826	0.039	0
4	191154276	68333	0.036	0
5	180915260	69082	0.038	0
6	171115067	66766	0.039	0
7	159138663	62718	0.039	0
8	146364022	57687	0.039	0
9	141213431	46399	0.033	-1
10	135534747	56188	0.041	0
11	135006516	55888	0.041	0
12	133851895	54702	0.041	0
13	115169878	35943	0.031	-1
14	107349540	36321	0.034	-1
15	102531392	35263	0.034	-1
16	90354753	38087	0.042	0
17	81195210	38523	0.047	1
18	78077248	30175	0.039	0
19	59128983	30825	0.052	1
20	63025520	29682	0.047	1
21	48129895	15187	0.032	-1
22	51304566	18453	0.036	0
Odchylenie standardowe dla osobnika: 0.00494
