Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	56233	0.023	0
2	243199373	50003	0.021	0
3	198022430	40892	0.021	0
4	191154276	36490	0.019	0
5	180915260	36018	0.02	0
6	171115067	36299	0.021	0
7	159138663	37153	0.023	0
8	146364022	29937	0.02	0
9	141213431	28497	0.02	0
10	135534747	33744	0.025	0
11	135006516	28592	0.021	0
12	133851895	31858	0.024	0
13	115169878	17938	0.016	-1
14	107349540	20586	0.019	0
15	102531392	20607	0.02	0
16	90354753	25371	0.028	1
17	81195210	26031	0.032	1
18	78077248	14784	0.019	0
19	59128983	23829	0.04	1
20	63025520	15558	0.025	0
21	48129895	8183	0.017	-1
22	51304566	11687	0.023	0
Odchylenie standardowe dla osobnika: 0.00516
