Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	178791	0.072	0
2	243199373	164319	0.068	0
3	198022430	128241	0.065	0
4	191154276	110516	0.058	-1
5	180915260	116718	0.065	0
6	171115067	118905	0.069	0
7	159138663	114071	0.072	0
8	146364022	100307	0.069	0
9	141213431	91007	0.064	0
10	135534747	106728	0.079	0
11	135006516	97744	0.072	0
12	133851895	96883	0.072	0
13	115169878	58200	0.051	-1
14	107349540	64993	0.061	0
15	102531392	65833	0.064	0
16	90354753	77868	0.086	0
17	81195210	78345	0.096	1
18	78077248	52022	0.067	0
19	59128983	66931	0.113	1
20	63025520	54678	0.087	1
21	48129895	41848	0.087	1
22	51304566	40393	0.079	0
Odchylenie standardowe dla osobnika: 0.01348
