Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	35823	0.014	0
2	243199373	32689	0.013	0
3	198022430	25692	0.013	0
4	191154276	22206	0.012	0
5	180915260	23341	0.013	0
6	171115067	23851	0.014	0
7	159138663	22765	0.014	0
8	146364022	20231	0.014	0
9	141213431	17841	0.013	0
10	135534747	21581	0.016	0
11	135006516	19339	0.014	0
12	133851895	19522	0.015	0
13	115169878	11712	0.01	-1
14	107349540	13024	0.012	0
15	102531392	13211	0.013	0
16	90354753	15433	0.017	0
17	81195210	15667	0.019	1
18	78077248	10473	0.013	0
19	59128983	13027	0.022	1
20	63025520	10923	0.017	0
21	48129895	8387	0.017	0
22	51304566	8134	0.016	0
Odchylenie standardowe dla osobnika: 0.00259
