Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	134394	0.054	0
2	243199373	143027	0.059	0
3	198022430	117831	0.06	0
4	191154276	112177	0.059	0
5	180915260	106039	0.059	0
6	171115067	101737	0.059	0
7	159138663	91104	0.057	0
8	146364022	86431	0.059	0
9	141213431	67793	0.048	-1
10	135534747	78861	0.058	0
11	135006516	78818	0.058	0
12	133851895	79652	0.06	0
13	115169878	58047	0.05	-1
14	107349540	53792	0.05	-1
15	102531392	48543	0.047	-1
16	90354753	47707	0.053	0
17	81195210	47722	0.059	0
18	78077248	45631	0.058	0
19	59128983	35172	0.059	0
20	63025520	38484	0.061	0
21	48129895	32740	0.068	1
22	51304566	21350	0.042	-1
Odchylenie standardowe dla osobnika: 0.00565
