Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	27047	0.011	0
2	243199373	28674	0.012	0
3	198022430	23753	0.012	0
4	191154276	22378	0.012	0
5	180915260	20925	0.012	0
6	171115067	20343	0.012	0
7	159138663	18134	0.011	0
8	146364022	17237	0.012	0
9	141213431	13756	0.01	-1
10	135534747	15730	0.012	0
11	135006516	15826	0.012	0
12	133851895	15869	0.012	0
13	115169878	11589	0.01	-1
14	107349540	10660	0.01	-1
15	102531392	9808	0.01	-1
16	90354753	9574	0.011	0
17	81195210	9643	0.012	0
18	78077248	9071	0.012	0
19	59128983	7144	0.012	0
20	63025520	7604	0.012	0
21	48129895	6453	0.013	1
22	51304566	4172	0.008	-1
Odchylenie standardowe dla osobnika: 0.00111
