Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	308835	0.124	0
2	243199373	294853	0.121	0
3	198022430	230344	0.116	0
4	191154276	208565	0.109	0
5	180915260	210713	0.116	0
6	171115067	208552	0.122	0
7	159138663	201828	0.127	0
8	146364022	176921	0.121	0
9	141213431	157739	0.112	0
10	135534747	191339	0.141	0
11	135006516	167514	0.124	0
12	133851895	169341	0.127	0
13	115169878	107599	0.093	-1
14	107349540	112943	0.105	-1
15	102531392	113805	0.111	0
16	90354753	127005	0.141	0
17	81195210	127721	0.157	1
18	78077248	92266	0.118	0
19	59128983	106800	0.181	1
20	63025520	88997	0.141	0
21	48129895	48043	0.1	-1
22	51304566	62038	0.121	0
Odchylenie standardowe dla osobnika: 0.01889
