Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	3022753	1.213	0
2	243199373	3096699	1.273	0
3	198022430	2515672	1.27	0
4	191154276	2252920	1.179	0
5	180915260	2242119	1.239	0
6	171115067	2153297	1.258	0
7	159138663	1967240	1.236	0
8	146364022	1870444	1.278	0
9	141213431	1494957	1.059	-1
10	135534747	1781895	1.315	0
11	135006516	1785046	1.322	0
12	133851895	1732628	1.294	0
13	115169878	1183902	1.028	-1
14	107349540	1171102	1.091	-1
15	102531392	1095722	1.069	-1
16	90354753	1147160	1.27	0
17	81195210	1144819	1.41	1
18	78077248	979801	1.255	0
19	59128983	862960	1.459	1
20	63025520	915533	1.453	1
21	48129895	476966	0.991	-1
22	51304566	538837	1.05	-1
Odchylenie standardowe dla osobnika: 0.12983
