Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	508419	0.204	0
2	243199373	458518	0.189	0
3	198022430	362961	0.183	0
4	191154276	309444	0.162	0
5	180915260	324985	0.18	0
6	171115067	329810	0.193	0
7	159138663	324949	0.204	0
8	146364022	274355	0.187	0
9	141213431	257554	0.182	0
10	135534747	298787	0.22	0
11	135006516	271531	0.201	0
12	133851895	278763	0.208	0
13	115169878	162359	0.141	-1
14	107349540	184580	0.172	0
15	102531392	188501	0.184	0
16	90354753	222569	0.246	0
17	81195210	233478	0.288	1
18	78077248	144137	0.185	0
19	59128983	203544	0.344	1
20	63025520	152388	0.242	0
21	48129895	76727	0.159	-1
22	51304566	115168	0.224	0
Odchylenie standardowe dla osobnika: 0.04381
