Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	1036146	0.416	0
2	243199373	970286	0.399	0
3	198022430	764874	0.386	0
4	191154276	636328	0.333	-1
5	180915260	695308	0.384	0
6	171115067	726736	0.425	0
7	159138663	655609	0.412	0
8	146364022	608819	0.416	0
9	141213431	539163	0.382	0
10	135534747	655189	0.483	0
11	135006516	587122	0.435	0
12	133851895	565881	0.423	0
13	115169878	348465	0.303	-1
14	107349540	381654	0.356	0
15	102531392	387991	0.378	0
16	90354753	448164	0.496	1
17	81195210	435893	0.537	1
18	78077248	318138	0.407	0
19	59128983	356203	0.602	1
20	63025520	338158	0.537	1
21	48129895	163862	0.34	-1
22	51304566	243624	0.475	0
Odchylenie standardowe dla osobnika: 0.07113
