Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	716594	0.287	0
2	243199373	655768	0.27	0
3	198022430	513269	0.259	0
4	191154276	444815	0.233	-1
5	180915260	466372	0.258	0
6	171115067	474723	0.277	0
7	159138663	457351	0.287	0
8	146364022	400214	0.273	0
9	141213431	362405	0.257	0
10	135534747	429670	0.317	0
11	135006516	390384	0.289	0
12	133851895	388736	0.29	0
13	115169878	232427	0.202	-1
14	107349540	259421	0.242	0
15	102531392	262847	0.256	0
16	90354753	310158	0.343	0
17	81195210	311867	0.384	1
18	78077248	208875	0.268	0
19	59128983	265110	0.448	1
20	63025520	217799	0.346	0
21	48129895	166923	0.347	1
22	51304566	161859	0.315	0
Odchylenie standardowe dla osobnika: 0.05352
