Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	2742841	1.1	0
2	243199373	2931823	1.206	0
3	198022430	2414845	1.219	0
4	191154276	2229557	1.166	0
5	180915260	2165261	1.197	0
6	171115067	2066193	1.207	0
7	159138663	1827463	1.148	0
8	146364022	1777173	1.214	0
9	141213431	1373060	0.972	-1
10	135534747	1635473	1.207	0
11	135006516	1626295	1.205	0
12	133851895	1606520	1.2	0
13	115169878	1167418	1.014	0
14	107349540	1082192	1.008	0
15	102531392	980383	0.956	-1
16	90354753	972167	1.076	0
17	81195210	944733	1.164	0
18	78077248	945426	1.211	0
19	59128983	646877	1.094	0
20	63025520	795591	1.262	1
21	48129895	437559	0.909	-1
22	51304566	423653	0.826	-1
Odchylenie standardowe dla osobnika: 0.11683
