Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	1438084	0.577	0
2	243199373	1302355	0.536	0
3	198022430	1026368	0.518	0
4	191154276	880171	0.46	-1
5	180915260	922295	0.51	0
6	171115067	959844	0.561	0
7	159138663	916813	0.576	0
8	146364022	801098	0.547	0
9	141213431	722559	0.512	0
10	135534747	921846	0.68	0
11	135006516	775318	0.574	0
12	133851895	786433	0.588	0
13	115169878	459186	0.399	-1
14	107349540	517908	0.482	0
15	102531392	528336	0.515	0
16	90354753	631025	0.698	1
17	81195210	634729	0.782	1
18	78077248	410068	0.525	0
19	59128983	546693	0.925	1
20	63025520	443838	0.704	1
21	48129895	218540	0.454	-1
22	51304566	326421	0.636	0
Odchylenie standardowe dla osobnika: 0.11659
