Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	651128	0.261	0
2	243199373	687740	0.283	0
3	198022430	568516	0.287	0
4	191154276	539818	0.282	0
5	180915260	510049	0.282	0
6	171115067	491495	0.287	0
7	159138663	441360	0.277	0
8	146364022	417129	0.285	0
9	141213431	322044	0.228	-1
10	135534747	382068	0.282	0
11	135006516	381631	0.283	0
12	133851895	383276	0.286	0
13	115169878	278188	0.242	0
14	107349540	257689	0.24	0
15	102531392	231620	0.226	-1
16	90354753	231748	0.256	0
17	81195210	229626	0.283	0
18	78077248	219309	0.281	0
19	59128983	169731	0.287	0
20	63025520	181081	0.287	0
21	48129895	107196	0.223	-1
22	51304566	101085	0.197	-1
Odchylenie standardowe dla osobnika: 0.02657
