Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	82961	0.033	0
2	243199373	75476	0.031	0
3	198022430	59711	0.03	0
4	191154276	51952	0.027	0
5	180915260	51815	0.029	0
6	171115067	51477	0.03	0
7	159138663	55235	0.035	0
8	146364022	42089	0.029	0
9	141213431	41290	0.029	0
10	135534747	49060	0.036	0
11	135006516	42123	0.031	0
12	133851895	47162	0.035	0
13	115169878	27034	0.023	-1
14	107349540	30867	0.029	0
15	102531392	30677	0.03	0
16	90354753	35985	0.04	0
17	81195210	39547	0.049	1
18	78077248	22212	0.028	0
19	59128983	33254	0.056	1
20	63025520	23515	0.037	0
21	48129895	12185	0.025	-1
22	51304566	17301	0.034	0
Odchylenie standardowe dla osobnika: 0.00736
