Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	268977	0.108	0
2	243199373	286037	0.118	0
3	198022430	235692	0.119	0
4	191154276	223044	0.117	0
5	180915260	210351	0.116	0
6	171115067	203487	0.119	0
7	159138663	182402	0.115	0
8	146364022	173313	0.118	0
9	141213431	134501	0.095	-1
10	135534747	157795	0.116	0
11	135006516	158254	0.117	0
12	133851895	158924	0.119	0
13	115169878	116021	0.101	0
14	107349540	107158	0.1	-1
15	102531392	96204	0.094	-1
16	90354753	94775	0.105	0
17	81195210	95743	0.118	0
18	78077248	90573	0.116	0
19	59128983	69807	0.118	0
20	63025520	75852	0.12	0
21	48129895	65374	0.136	1
22	51304566	42724	0.083	-1
Odchylenie standardowe dla osobnika: 0.01132
