Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	35588	0.014	0
2	243199373	33037	0.014	0
3	198022430	25702	0.013	0
4	191154276	22346	0.012	-1
5	180915260	23247	0.013	0
6	171115067	23992	0.014	0
7	159138663	23042	0.014	0
8	146364022	20084	0.014	0
9	141213431	18149	0.013	0
10	135534747	21223	0.016	0
11	135006516	19687	0.015	0
12	133851895	19505	0.015	0
13	115169878	11707	0.01	-1
14	107349540	12892	0.012	-1
15	102531392	12875	0.013	0
16	90354753	15154	0.017	0
17	81195210	15531	0.019	1
18	78077248	10615	0.014	0
19	59128983	13410	0.023	1
20	63025520	10894	0.017	0
21	48129895	8530	0.018	1
22	51304566	8102	0.016	0
Odchylenie standardowe dla osobnika: 0.00272
