Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	539034	0.216	0
2	243199373	498835	0.205	0
3	198022430	397341	0.201	0
4	191154276	362255	0.19	0
5	180915260	355929	0.197	0
6	171115067	359869	0.21	0
7	159138663	361848	0.227	0
8	146364022	298412	0.204	0
9	141213431	271349	0.192	0
10	135534747	355446	0.262	0
11	135006516	284992	0.211	0
12	133851895	304948	0.228	0
13	115169878	178419	0.155	-1
14	107349540	198030	0.184	0
15	102531392	196558	0.192	0
16	90354753	250172	0.277	1
17	81195210	240457	0.296	1
18	78077248	152067	0.195	0
19	59128983	212864	0.36	1
20	63025520	153031	0.243	0
21	48129895	81290	0.169	-1
22	51304566	109875	0.214	0
Odchylenie standardowe dla osobnika: 0.04464
