Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	8784044	3.524	0
2	243199373	9361811	3.849	0
3	198022430	7727386	3.902	0
4	191154276	7250459	3.793	0
5	180915260	6916195	3.823	0
6	171115067	6632009	3.876	0
7	159138663	5919629	3.72	0
8	146364022	5658405	3.866	0
9	141213431	4381094	3.102	-1
10	135534747	5183443	3.824	0
11	135006516	5189903	3.844	0
12	133851895	5163040	3.857	0
13	115169878	3760767	3.265	0
14	107349540	3488929	3.25	0
15	102531392	3127594	3.05	-1
16	90354753	3098653	3.429	0
17	81195210	3070155	3.781	0
18	78077248	2988823	3.828	0
19	59128983	2194985	3.712	0
20	63025520	2496174	3.961	1
21	48129895	1425525	2.962	-1
22	51304566	1366657	2.664	-1
Odchylenie standardowe dla osobnika: 0.3633
