Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	3463957	1.39	0
2	243199373	3510699	1.444	0
3	198022430	2838512	1.433	0
4	191154276	2587363	1.354	0
5	180915260	2532038	1.4	0
6	171115067	2447842	1.431	0
7	159138663	2272848	1.428	0
8	146364022	2112732	1.443	0
9	141213431	1706967	1.209	-1
10	135534747	2033900	1.501	0
11	135006516	2018432	1.495	0
12	133851895	1991488	1.488	0
13	115169878	1351526	1.174	-1
14	107349540	1333893	1.243	-1
15	102531392	1235305	1.205	-1
16	90354753	1335581	1.478	0
17	81195210	1372801	1.691	1
18	78077248	1102988	1.413	0
19	59128983	1096379	1.854	1
20	63025520	1036502	1.645	1
21	48129895	557146	1.158	-1
22	51304566	642324	1.252	0
Odchylenie standardowe dla osobnika: 0.16769
