Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	269852	0.108	0
2	243199373	284871	0.117	0
3	198022430	235662	0.119	0
4	191154276	222589	0.116	0
5	180915260	211174	0.117	0
6	171115067	203077	0.119	0
7	159138663	182186	0.114	0
8	146364022	172476	0.118	0
9	141213431	134155	0.095	-1
10	135534747	158449	0.117	0
11	135006516	157970	0.117	0
12	133851895	158870	0.119	0
13	115169878	115817	0.101	0
14	107349540	106339	0.099	-1
15	102531392	96024	0.094	-1
16	90354753	95266	0.105	0
17	81195210	95781	0.118	0
18	78077248	91258	0.117	0
19	59128983	69765	0.118	0
20	63025520	75733	0.12	0
21	48129895	65564	0.136	1
22	51304566	42324	0.082	-1
Odchylenie standardowe dla osobnika: 0.0115
