Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	1169315	0.469	0
2	243199373	1080597	0.444	0
3	198022430	845778	0.427	0
4	191154276	736781	0.385	0
5	180915260	763951	0.422	0
6	171115067	782427	0.457	0
7	159138663	750152	0.471	0
8	146364022	667015	0.456	0
9	141213431	591131	0.419	0
10	135534747	754165	0.556	0
11	135006516	639922	0.474	0
12	133851895	638096	0.477	0
13	115169878	379689	0.33	-1
14	107349540	422427	0.394	0
15	102531392	430371	0.42	0
16	90354753	518089	0.573	1
17	81195210	503515	0.62	1
18	78077248	340631	0.436	0
19	59128983	431175	0.729	1
20	63025520	359561	0.571	1
21	48129895	179860	0.374	-1
22	51304566	258274	0.503	0
Odchylenie standardowe dla osobnika: 0.08842
