Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	714192	0.287	0
2	243199373	656610	0.27	0
3	198022430	513986	0.26	0
4	191154276	444369	0.232	-1
5	180915260	465954	0.258	0
6	171115067	474292	0.277	0
7	159138663	455319	0.286	0
8	146364022	401249	0.274	0
9	141213431	362264	0.257	0
10	135534747	430796	0.318	0
11	135006516	389339	0.288	0
12	133851895	388599	0.29	0
13	115169878	233190	0.202	-1
14	107349540	259093	0.241	0
15	102531392	262798	0.256	0
16	90354753	310211	0.343	0
17	81195210	312501	0.385	1
18	78077248	208420	0.267	0
19	59128983	265767	0.449	1
20	63025520	218268	0.346	0
21	48129895	166888	0.347	1
22	51304566	161856	0.315	0
Odchylenie standardowe dla osobnika: 0.05383
