Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	77891	0.031	0
2	243199373	76233	0.031	0
3	198022430	63508	0.032	0
4	191154276	52421	0.027	0
5	180915260	53673	0.03	0
6	171115067	50898	0.03	0
7	159138663	51906	0.033	0
8	146364022	41556	0.028	0
9	141213431	38222	0.027	0
10	135534747	43858	0.032	0
11	135006516	42138	0.031	0
12	133851895	44146	0.033	0
13	115169878	29586	0.026	-1
14	107349540	29102	0.027	0
15	102531392	28639	0.028	0
16	90354753	29975	0.033	0
17	81195210	31076	0.038	1
18	78077248	23775	0.03	0
19	59128983	19742	0.033	0
20	63025520	21331	0.034	1
21	48129895	11798	0.025	-1
22	51304566	12089	0.024	-1
Odchylenie standardowe dla osobnika: 0.00329
