Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	713900	0.286	0
2	243199373	743465	0.306	0
3	198022430	615116	0.311	0
4	191154276	580795	0.304	0
5	180915260	548640	0.303	0
6	171115067	534055	0.312	0
7	159138663	481155	0.302	0
8	146364022	447678	0.306	0
9	141213431	351275	0.249	-1
10	135534747	417850	0.308	0
11	135006516	415830	0.308	0
12	133851895	422658	0.316	0
13	115169878	294733	0.256	-1
14	107349540	281281	0.262	0
15	102531392	251261	0.245	-1
16	90354753	259724	0.287	0
17	81195210	261466	0.322	1
18	78077248	233398	0.299	0
19	59128983	204160	0.345	1
20	63025520	197604	0.314	0
21	48129895	116476	0.242	-1
22	51304566	113523	0.221	-1
Odchylenie standardowe dla osobnika: 0.03066
