Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	1208847	0.485	0
2	243199373	1102837	0.453	0
3	198022430	871408	0.44	0
4	191154276	748727	0.392	-1
5	180915260	793180	0.438	0
6	171115067	798434	0.467	0
7	159138663	778862	0.489	0
8	146364022	668994	0.457	0
9	141213431	616168	0.436	0
10	135534747	716179	0.528	0
11	135006516	649617	0.481	0
12	133851895	664407	0.496	0
13	115169878	397566	0.345	-1
14	107349540	439587	0.409	0
15	102531392	448564	0.437	0
16	90354753	519017	0.574	0
17	81195210	540006	0.665	1
18	78077248	349901	0.448	0
19	59128983	459042	0.776	1
20	63025520	363519	0.577	0
21	48129895	185023	0.384	-1
22	51304566	269073	0.524	0
Odchylenie standardowe dla osobnika: 0.09381
