Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	574402	0.23	0
2	243199373	526991	0.217	0
3	198022430	412039	0.208	0
4	191154276	356469	0.186	0
5	180915260	373442	0.206	0
6	171115067	379356	0.222	0
7	159138663	370220	0.233	0
8	146364022	315115	0.215	0
9	141213431	293230	0.208	0
10	135534747	344458	0.254	0
11	135006516	310498	0.23	0
12	133851895	314905	0.235	0
13	115169878	186694	0.162	-1
14	107349540	209913	0.196	0
15	102531392	211668	0.206	0
16	90354753	249526	0.276	0
17	81195210	261844	0.322	1
18	78077248	164500	0.211	0
19	59128983	225873	0.382	1
20	63025520	174735	0.277	0
21	48129895	88360	0.184	-1
22	51304566	130237	0.254	0
Odchylenie standardowe dla osobnika: 0.04754
