Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	1789274	0.718	0
2	243199373	1645411	0.677	0
3	198022430	1283636	0.648	0
4	191154276	1111683	0.582	-1
5	180915260	1168346	0.646	0
6	171115067	1187092	0.694	0
7	159138663	1140689	0.717	0
8	146364022	1000140	0.683	0
9	141213431	907669	0.643	0
10	135534747	1072522	0.791	0
11	135006516	977148	0.724	0
12	133851895	971629	0.726	0
13	115169878	582507	0.506	-1
14	107349540	648814	0.604	0
15	102531392	656715	0.641	0
16	90354753	774426	0.857	0
17	81195210	780188	0.961	1
18	78077248	520602	0.667	0
19	59128983	662849	1.121	1
20	63025520	546117	0.867	0
21	48129895	417417	0.867	0
22	51304566	405519	0.79	0
Odchylenie standardowe dla osobnika: 0.13397
