Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	269325	0.108	0
2	243199373	285779	0.118	0
3	198022430	236436	0.119	0
4	191154276	222584	0.116	0
5	180915260	211238	0.117	0
6	171115067	203082	0.119	0
7	159138663	181487	0.114	0
8	146364022	172321	0.118	0
9	141213431	133871	0.095	-1
10	135534747	157676	0.116	0
11	135006516	158081	0.117	0
12	133851895	158884	0.119	0
13	115169878	116006	0.101	0
14	107349540	106861	0.1	-1
15	102531392	95978	0.094	-1
16	90354753	95301	0.105	0
17	81195210	95450	0.118	0
18	78077248	91444	0.117	0
19	59128983	69904	0.118	0
20	63025520	76402	0.121	0
21	48129895	66090	0.137	1
22	51304566	42631	0.083	-1
Odchylenie standardowe dla osobnika: 0.01146
