Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	715593	0.287	0
2	243199373	657593	0.27	0
3	198022430	513452	0.259	0
4	191154276	444436	0.233	-1
5	180915260	467207	0.258	0
6	171115067	475373	0.278	0
7	159138663	456280	0.287	0
8	146364022	399565	0.273	0
9	141213431	362682	0.257	0
10	135534747	428691	0.316	0
11	135006516	390271	0.289	0
12	133851895	387914	0.29	0
13	115169878	232916	0.202	-1
14	107349540	258854	0.241	0
15	102531392	262409	0.256	0
16	90354753	310331	0.343	0
17	81195210	313160	0.386	1
18	78077248	208144	0.267	0
19	59128983	265913	0.45	1
20	63025520	219229	0.348	1
21	48129895	166272	0.345	0
22	51304566	161654	0.315	0
Odchylenie standardowe dla osobnika: 0.05398
