Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	64657	0.026	0
2	243199373	55998	0.023	0
3	198022430	45051	0.023	0
4	191154276	38457	0.02	0
5	180915260	38913	0.022	0
6	171115067	39327	0.023	0
7	159138663	42809	0.027	0
8	146364022	31569	0.022	0
9	141213431	32343	0.023	0
10	135534747	36798	0.027	0
11	135006516	31963	0.024	0
12	133851895	36606	0.027	0
13	115169878	19744	0.017	-1
14	107349540	23503	0.022	0
15	102531392	24265	0.024	0
16	90354753	28485	0.032	0
17	81195210	33949	0.042	1
18	78077248	16734	0.021	0
19	59128983	30269	0.051	1
20	63025520	18226	0.029	0
21	48129895	8933	0.019	0
22	51304566	14587	0.028	0
Odchylenie standardowe dla osobnika: 0.00743
