Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	1349655	0.541	0
2	243199373	1429413	0.588	0
3	198022430	1177541	0.595	0
4	191154276	1114136	0.583	0
5	180915260	1058030	0.585	0
6	171115067	1016881	0.594	0
7	159138663	912433	0.573	0
8	146364022	861899	0.589	0
9	141213431	671370	0.475	-1
10	135534747	791016	0.584	0
11	135006516	792728	0.587	0
12	133851895	793220	0.593	0
13	115169878	580092	0.504	-1
14	107349540	534638	0.498	-1
15	102531392	480400	0.469	-1
16	90354753	477010	0.528	0
17	81195210	478566	0.589	0
18	78077248	454690	0.582	0
19	59128983	351086	0.594	0
20	63025520	380213	0.603	0
21	48129895	327515	0.68	1
22	51304566	213465	0.416	-1
Odchylenie standardowe dla osobnika: 0.05682
