Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	11968463	4.802	0
2	243199373	12577337	5.172	0
3	198022430	10300249	5.202	0
4	191154276	9331839	4.882	0
5	180915260	9169412	5.068	0
6	171115067	8817862	5.153	0
7	159138663	7825519	4.917	0
8	146364022	7579460	5.178	0
9	141213431	5954929	4.217	-1
10	135534747	7098573	5.237	0
11	135006516	7061610	5.231	0
12	133851895	6915947	5.167	0
13	115169878	4890433	4.246	-1
14	107349540	4662048	4.343	-1
15	102531392	4331445	4.225	-1
16	90354753	4377536	4.845	0
17	81195210	4298507	5.294	0
18	78077248	4008975	5.135	0
19	59128983	2997189	5.069	0
20	63025520	3551791	5.635	1
21	48129895	1896396	3.94	-1
22	51304566	1970846	3.841	-1
Odchylenie standardowe dla osobnika: 0.48049
