Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	357701	0.144	0
2	243199373	328498	0.135	0
3	198022430	256695	0.13	0
4	191154276	222724	0.117	-1
5	180915260	232963	0.129	0
6	171115067	238079	0.139	0
7	159138663	227845	0.143	0
8	146364022	199375	0.136	0
9	141213431	182155	0.129	0
10	135534747	215188	0.159	0
11	135006516	194823	0.144	0
12	133851895	194615	0.145	0
13	115169878	116682	0.101	-1
14	107349540	129821	0.121	0
15	102531392	131185	0.128	0
16	90354753	154988	0.172	0
17	81195210	156349	0.193	1
18	78077248	104153	0.133	0
19	59128983	132077	0.223	1
20	63025520	110047	0.175	1
21	48129895	83553	0.174	1
22	51304566	80802	0.157	0
Odchylenie standardowe dla osobnika: 0.02682
