Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	178683	0.072	0
2	243199373	164838	0.068	0
3	198022430	127847	0.065	0
4	191154276	111040	0.058	-1
5	180915260	116990	0.065	0
6	171115067	118663	0.069	0
7	159138663	113834	0.072	0
8	146364022	100419	0.069	0
9	141213431	90298	0.064	0
10	135534747	107669	0.079	0
11	135006516	97518	0.072	0
12	133851895	96783	0.072	0
13	115169878	58578	0.051	-1
14	107349540	64711	0.06	0
15	102531392	65745	0.064	0
16	90354753	77755	0.086	0
17	81195210	78303	0.096	1
18	78077248	52086	0.067	0
19	59128983	66164	0.112	1
20	63025520	54617	0.087	1
21	48129895	41725	0.087	1
22	51304566	40581	0.079	0
Odchylenie standardowe dla osobnika: 0.01339
