Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	11224604	4.503	0
2	243199373	11360339	4.671	0
3	198022430	9122043	4.607	0
4	191154276	7938778	4.153	0
5	180915260	8109749	4.483	0
6	171115067	7769796	4.541	0
7	159138663	7133314	4.482	0
8	146364022	6849670	4.68	0
9	141213431	5550457	3.931	-1
10	135534747	6643257	4.902	0
11	135006516	6673626	4.943	0
12	133851895	6307933	4.713	0
13	115169878	4240733	3.682	-1
14	107349540	4292171	3.998	-1
15	102531392	4046178	3.946	-1
16	90354753	4372981	4.84	0
17	81195210	4387230	5.403	1
18	78077248	3610073	4.624	0
19	59128983	3290285	5.565	1
20	63025520	3543813	5.623	1
21	48129895	1746604	3.629	-1
22	51304566	2164449	4.219	0
Odchylenie standardowe dla osobnika: 0.53391
