Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	1484284	0.595	0
2	243199373	1371606	0.564	0
3	198022430	1075006	0.543	0
4	191154276	910607	0.476	-1
5	180915260	983676	0.544	0
6	171115067	1001776	0.585	0
7	159138663	951765	0.598	0
8	146364022	845642	0.578	0
9	141213431	764972	0.542	0
10	135534747	910701	0.672	0
11	135006516	821537	0.609	0
12	133851895	811185	0.606	0
13	115169878	494181	0.429	-1
14	107349540	545341	0.508	0
15	102531392	552540	0.539	0
16	90354753	648958	0.718	1
17	81195210	654445	0.806	1
18	78077248	443039	0.567	0
19	59128983	547450	0.926	1
20	63025520	466744	0.741	1
21	48129895	236333	0.491	-1
22	51304566	346956	0.676	0
Odchylenie standardowe dla osobnika: 0.11172
