Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	1071633	0.43	0
2	243199373	1157164	0.476	0
3	198022430	961809	0.486	1
4	191154276	922801	0.483	0
5	180915260	862582	0.477	0
6	171115067	831285	0.486	1
7	159138663	729311	0.458	0
8	146364022	699091	0.478	0
9	141213431	534196	0.378	-1
10	135534747	629300	0.464	0
11	135006516	631060	0.467	0
12	133851895	635418	0.475	0
13	115169878	475411	0.413	0
14	107349540	431448	0.402	0
15	102531392	381013	0.372	-1
16	90354753	367123	0.406	0
17	81195210	358956	0.442	0
18	78077248	370182	0.474	0
19	59128983	251464	0.425	0
20	63025520	292671	0.464	0
21	48129895	174744	0.363	-1
22	51304566	154955	0.302	-1
Odchylenie standardowe dla osobnika: 0.04848
