Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	174535	0.07	0
2	243199373	177954	0.073	0
3	198022430	142381	0.072	0
4	191154276	134669	0.07	0
5	180915260	128111	0.071	0
6	171115067	125599	0.073	0
7	159138663	116965	0.073	0
8	146364022	107914	0.074	0
9	141213431	85103	0.06	-1
10	135534747	100781	0.074	0
11	135006516	101837	0.075	0
12	133851895	100030	0.075	0
13	115169878	69186	0.06	-1
14	107349540	67703	0.063	0
15	102531392	59877	0.058	-1
16	90354753	65125	0.072	0
17	81195210	66234	0.082	1
18	78077248	56289	0.072	0
19	59128983	57765	0.098	1
20	63025520	50660	0.08	1
21	48129895	31037	0.064	0
22	51304566	30563	0.06	-1
Odchylenie standardowe dla osobnika: 0.00864
