Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	1790146	0.718	0
2	243199373	1644662	0.676	0
3	198022430	1282716	0.648	0
4	191154276	1111294	0.581	-1
5	180915260	1167709	0.645	0
6	171115067	1188236	0.694	0
7	159138663	1142384	0.718	0
8	146364022	1000400	0.684	0
9	141213431	907704	0.643	0
10	135534747	1073101	0.792	0
11	135006516	973757	0.721	0
12	133851895	970169	0.725	0
13	115169878	582704	0.506	-1
14	107349540	649166	0.605	0
15	102531392	655714	0.64	0
16	90354753	775434	0.858	0
17	81195210	779063	0.959	1
18	78077248	521387	0.668	0
19	59128983	662861	1.121	1
20	63025520	547217	0.868	1
21	48129895	417299	0.867	1
22	51304566	404392	0.788	0
Odchylenie standardowe dla osobnika: 0.13395
