Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	1345558	0.54	0
2	243199373	1429858	0.588	0
3	198022430	1175958	0.594	0
4	191154276	1112120	0.582	0
5	180915260	1056213	0.584	0
6	171115067	1015514	0.593	0
7	159138663	909111	0.571	0
8	146364022	861275	0.588	0
9	141213431	671292	0.475	-1
10	135534747	790972	0.584	0
11	135006516	789736	0.585	0
12	133851895	792289	0.592	0
13	115169878	579607	0.503	-1
14	107349540	534242	0.498	-1
15	102531392	480883	0.469	-1
16	90354753	477746	0.529	0
17	81195210	477832	0.588	0
18	78077248	453168	0.58	0
19	59128983	350757	0.593	0
20	63025520	379868	0.603	0
21	48129895	327793	0.681	1
22	51304566	213169	0.415	-1
Odchylenie standardowe dla osobnika: 0.05679
